Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2015,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Birchmount Stadium,Other,85 Birchmount Rd,Toronto,M1N 3J7,0,Square feet,100,0,85061.335221999994,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3742.6987497679997,NA,NA,BMTS,Outdoor Recreational Facilities
Bennington Heights Clubhouse,Indoor recreational facilities,457 Heath Ave,Toronto,M4G 1B8,1432,Square feet,100,0,7841.7108050000006,kWh,2383.844611,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4850.5015902100004,23.049853544372844,NA,BNHC,Indoor Recreational Facilities
Bond Park Baseball,Other,70 Bond Ave,Toronto,M5B 1X8,1625,Square feet,100,0,577484.69277700002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25409.326482188,355.37667628505841,NA,BONP,Outdoor Recreational Facilities
Beaches Park Wading Pool,Other,0 Coxwell Av Pool,Toronto,M4L 3A7,0,Square feet,100,0,2.1,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2399999999999996E-2,NA,NA,BPP,Outdoor Recreational Facilities
Bayview Pumping Station,Facilities related to the pumping of water,8127 Bayview Ave,Toronto,L3T 5V3,0,Square feet,168,11853.754999999999,27561.983333,kWh,536,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2225.7672666520002,NA,2.8025309359975936,BPS,Water Pumping Facilities
Baird Park W.Pool,Other,275 Keele St,Toronto,M6P 2K4,1970,Square feet,100,0,19851.164688000001,kWh,5484.7450980000003,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11239.619481492,39.468182319636384,NA,BPWP,Outdoor Recreational Facilities
Brentwood,Public libraries,36 Brentwood Rd N,Toronto,M8X 2B5,13616,Square feet,70,0,263476.78999999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11592.978759999998,19.350608682429371,NA,BR,Public Libraries
Kbs-Post S East  Parking Lot,Parking garages,174 Beecroft Rd,Toronto,M2N 1W7,0,Square feet,168,0,39541.745473000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1739.8368008120001,NA,NA,BR174,Parking Lots and Garages
Beresford Park,Other,401 Beresford Av,Toronto,M6S 3B5,183,Square feet,100,0,14500.224461,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638.00987628399992,79.236529391267325,NA,BRFP,Outdoor Recreational Facilities
Bridlewood Park,Other,445 Huntingwood Dr,Toronto,M1W 1H6,2433,Square feet,100,0,28205.691176,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1241.050411744,11.593016317185874,NA,BRID,Outdoor Recreational Facilities
Beare Road Landfill,Other,8132 Finch Ave E,Scarborough,M1B 5W3,5942,Square feet,70,0,74401.332267000005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3273.6586197480001,12.521313071785784,NA,BRL,Landfill Operations
Brimley Parks Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",451 Brimley Rd,Toronto,M1J 1A2,2809,Square feet,70,0,28477.811858999998,kWh,5760.5282360000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12140.422087835999,31.787246483365852,NA,BRLY,Storage Facilities
Broadlands R.C & A.I.R,Indoor recreational facilities,19 Castlegrove Blvd,Toronto,M3A 1K9,10667,Square feet,100,0,371112.872057,kWh,28870.011982999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70893.289018377996,63.362506724070812,NA,BROAC,Indoor Recreational Facilities
Brookdale Park,Other,435 Brookdale Ave,Toronto,M5M 1R5,0,Square feet,100,0,487.06712899999997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.430953675999998,NA,NA,BROOKDP,Outdoor Recreational Facilities
Beaty Ave Parkette,Other,66 Beaty Ave,Toronto,M6K 3B4,0,Square feet,100,0,2272.3494000000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.983373599999993,NA,NA,BTAP,Outdoor Recreational Facilities
Bermondsey Transfer Station,Other,188 Bermondsey Dr.,Toronto,M4A 1Y1,48976,Square feet,70,0,1175585.3700010001,kWh,10452.267647000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71480.54213287399,26.256375034869375,NA,BTS,Transfer Stations
Bartonville Park,"Storage facilities where equipment or vehicles are maintained, repaired or stored",5 Bartonville Ave E,Toronto,M6M 2B1,3606,Square feet,70,0,30348.292787999999,kWh,12368.10628,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24711.045751872,44.624348392829191,NA,BTVP,Storage Facilities
Bus Shelters,Other,Various Locations,Toronto,M5V 3C6,0,Square feet,168,0,533541.38868500001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23475.821102139998,NA,NA,BUSHEL,Transportation - Others
Buttonwood Rink,Other,30 Mulham Pl,Toronto,M9A 4W1,0,Square feet,100,0,174215.60458700001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7665.4866018279999,NA,NA,BUTTR,Outdoor Recreational Facilities
Bestview Park,Other,115 Bestview Dr,Toronto,M2M 2Y1,0,Square feet,100,0,10325.298611,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.31313888399995,NA,NA,BVP,Outdoor Recreational Facilities
Kennedy Park Sewage Pumping Station,Facilities related to the pumping of sewage,15 Birchview Cr,Toronto,M6P 3H9,151,Square feet,168,121.3204648,18134.359517999997,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797.91181879199985,120.0955965419293,149.47548303352136,BVPS,Sewage Pumping Facilities
Jean Sibelius Square,Other,50 Kendal Ave,Toronto,M5R 2Z5,183,Square feet,100,0,11673.227351,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.62200344399992,63.788393384957892,NA,BWAP,Outdoor Recreational Facilities
Brock West Landfill,Other,2357 Meriadoc Dr,Pickering,L1X 2T1,10764,Square feet,70,0,176923.65253299999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7784.6407114519989,16.436676859428236,NA,BWL,Landfill Operations
Bentworth Park Yard - Bldg 1,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,Toronto,M6A 1P7,5554,Square feet,70,0,21529.047046,kWh,11829.394117999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23304.832953043995,26.361013554971898,NA,BWPY-1,Storage Facilities
Bentworth Park Yard - Bldg 2,"Storage facilities where equipment or vehicles are maintained, repaired or stored",140 Bentworth Ave,Toronto,M6A 1P7,6330,Square feet,70,0,42773.233970999994,kWh,14205.580948000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28730.570286443999,30.448364969882356,NA,BWPY-2,Storage Facilities
Bayview,Public libraries,2901 Bayview Ave,Toronto,M2N 5Z7,6340,Square feet,70,0,143240.99483400001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6302.6037726960003,22.593310989192194,NA,BY,Public Libraries
Berczy Park,Other,45 Wellington St E,Toronto,M5E 1C7,0,Square feet,100,0,42247.423608999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1858.8866387959997,NA,NA,BZP,Outdoor Recreational Facilities
Caledonia Rd Serv Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1141 Caledonia Rd,Toronto,M6A 2W9,1981,Square feet,70,0,50776.919373000004,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234.1844524120002,25.632070138060268,NA,CALEY,Storage Facilities
Caledonia Park Baseball,Other,1139 Caledonia Rd,Toronto,M6A 2W9,1765,Square feet,100,0,30558.601129000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344.578449676,17.313727170824194,NA,CALP,Outdoor Recreational Facilities
Canoe Landing Park,Other,95 Fort York Blvd,Toronto,M5V 3Y7,0,Square feet,100,0,52063.188965000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2290.7803144599998,NA,NA,CANOE,Outdoor Recreational Facilities
Carlton Park,Other,60 Edith Ave,Toronto,M6P 3T5,506,Square feet,100,0,7271.3817079999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.94079515199996,14.370379457359254,NA,CARLP,Outdoor Recreational Facilities
Car Park,Parking garages,12 Harlandale Ave,Toronto,M2N 1N9,0,Square feet,168,0,8658.8986850000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.99154213999998,NA,NA,CARP,Parking Lots and Garages
Castlefield Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1401 Castlefield Ave Yard,Toronto,M6B 1G7,36447,Square feet,70,0,346571.20431900001,kWh,58807.492205999995,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126395.29325937599,26.54233608496633,NA,CASTY,Storage Facilities
Colborne Lodge,Cultural facilities,1 Colborne Lodge Dr,Toronto,M6R 2Z3,7050,Square feet,100,0,144613.96181899999,kWh,10876.204572000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26919.040961115999,36.798853204377238,NA,CBL,Cultural Facilities
Cumberland St Parkette,Other,115 Cumberland St,Toronto,M5R 3N7,0,Square feet,100,0,101309.70075999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4457.6268334399992,NA,NA,CBLP,Outdoor Recreational Facilities
Cherry Beach Life Stn,Police stations and associated offices and facilities,0 Cherry St,Toronto,M5A 3L2,680,Square feet,168,0,18549.666654000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816.185332776,27.279035212173124,NA,CBLS,Police Stations
Campbell Ave Playground,Other,225 Campbell Av,Toronto,M1P 4N7,1453,Square feet,100,0,200460.09892700001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8820.2443527880005,137.96347844281638,NA,CBPG,Outdoor Recreational Facilities
Cliffcrest,Public libraries,3017 Kingston Rd,Toronto,M1M 1P1,4898,Square feet,70,0,81143.363765000002,kWh,10204.988711,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22857.736669450002,38.561697812795494,NA,CC,Public Libraries
2 Civic Centre Court,"Administrative offices and related facilities, including municipal council chambers",2 Civic Centre Court,Toronto,M9C 5A3,46145,Square feet,70,0,1346079.22,kWh,10040.155878,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78203.380289419991,31.467682826098091,NA,CC2,Administrative Offices
Consolidated Communication Ctr,"Administrative offices and related facilities, including municipal council chambers",703 Don Mills Rd,Toronto,M3C 3N3,132999,Square feet,70,0,8283295.4699999997,kWh,246478.42413500001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830309.22229514993,81.845281478631165,NA,CCC,Administrative Offices
Colonel Danforth Park,Other,1 Highland Creek Dr,Toronto,M1C 1P5,2723,Square feet,100,0,7368.117346,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324.19716322400001,2.7058935168890716,NA,CDP,Outdoor Recreational Facilities
Cecil Community Ctr,Community centres,58 Cecil St,Toronto,M5T 1N6,5769,Square feet,100,0,83490.958469999998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3673.6021726799995,14.472405330038763,NA,CECIC,Community Centres
Cedarbrae,Public libraries,545 Markham Rd,Toronto,M1H 2A2,31506,Square feet,70,0,606152.37,kWh,38955.760081,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100297.09083308998,32.292294719210915,NA,CED,Public Libraries
Phil White Arena,Indoor sports arenas,443 Arlington Ave,Toronto,M6C 3A4,25941,Square feet,100,0,881718.25578700006,kWh,20827.906588999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78160.346707838005,42.46547513799166,NA,CEDAA,Indoor Sports Arena
Cedar Brook C.C,Community centres,91 Eastpark Blvd,Toronto,M1H 1C6,14951,Square feet,100,0,127412.64062999999,kWh,10537.185294000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25521.436393380001,15.962248755892974,NA,CEDBC,Community Centres
Cedar Ridge Creative Centre,Cultural facilities,225 Confederation Dr,Toronto,M1G 1B2,13110,Square feet,100,0,145580.337176,kWh,18511.047355999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41391.414338584,26.01048098092129,NA,CEDRC,Cultural Facilities
Centennial R.C (Ice Galaxy),Indoor recreational facilities,1967 Ellesmere Rd,Toronto,M1H 2W5,102376,Square feet,100,0,2534535.7599999998,kWh,232586.22790299999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551107.54417666991,48.740920856587692,NA,CENTC,Indoor Recreational Facilities
Central Equipment Yard,"Storage facilities where equipment or vehicles are maintained, repaired or stored",1026 Finch Ave. W,Toronto,M3J 2E1,148198,Square feet,70,0,1302563.94,kWh,321063.33695199998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,664122.52019928,31.660036594163426,NA,CEY,Storage Facilities
Trinity Comm Rec Ctr,Indoor recreational facilities,155 Crawford St,Toronto,M6J 2V5,36909,Square feet,100,0,752223.5073980001,kWh,232911.591472,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473300.742207592,86.998174318264248,NA,CF155,Indoor Recreational Facilities
Carefree Lodge,Long-term care,306 Finch Ave.E.,Toronto,M2N 4S5,67490,Square feet,168,0,1235665.1200000001,kWh,113740.20677400001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269338.25608286,36.100118053395249,NA,CFL,Long Term Care Homes
Civic Garden Centre,Cultural facilities,755 Lawrence Ave.E.,Toronto,M3C 1P2,36953,Square feet,100,0,409344.08541100001,kWh,48330.795833000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109356.34388245401,24.884632441102049,NA,CGC,Cultural Facilities
City Hall,"Administrative offices and related facilities, including municipal council chambers",100 Queen St W,Toronto,M5H 2N1,780061,Square feet,70,0,13479940.564413,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2384659.397894247,35.84361298004486,NA,CH,Administrative Offices
Chapley C.C / Wilmington Park,Community centres,205 Wilmington Ave.,Toronto,M3H 6B3,6997,Square feet,100,0,335026.175231,kWh,20406.511999999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53309.459390163996,78.669997947137816,NA,CHAPC,Community Centres
City Hall Eternal Flame,Other,100 Queen St W,Toronto,M5H 2N1,0,Square feet,168,0,0,0,4,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.56,NA,NA,CHEF,EDC - Others
Chaplin Parkette,Other,43 Chaplin Cr Opp,Toronto,M5P 1A2,0,Square feet,100,0,13654.708898000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600.80719151200003,NA,NA,CHLP,Outdoor Recreational Facilities
City Hall Nathan Phillips Sqr,Other,110 Queen Street West,Toronto,M5H 2N1,3606,Square feet,100,0,823555.8,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207367.49183367932,445.53477542054907,NA,CHNPS,Outdoor Recreational Facilities
Cresthaven Park Tennis,Other,47 Cresthaven Dr,Toronto,M2H 1L9,1916,Square feet,100,0,53481.912938000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2353.2041692719999,27.9134320351273,NA,CHP,Outdoor Recreational Facilities
Chelsea Avenue Playground,Other,103 Chelsea Ave,Toronto,M6P 2B7,0,Square feet,100,0,22.827199,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.004396756,NA,NA,CHPG,Outdoor Recreational Facilities
Chris Tonks Arena,Indoor sports arenas,2801 Eglinton Ave,Toronto,M6M 5B4,23638,Square feet,100,0,639789.03404599999,kWh,25397.171642000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76151.371901403996,38.408631881808716,NA,CHRIA,Indoor Sports Arena
Public Health HQ,"Administrative offices and related facilities, including municipal council chambers",277 Victoria St,Toronto,M5B 1W2,111385,Square feet,70,0,1767846.3829049999,kWh,49640.348235999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171605.49901385998,20.576328906132463,NA,CHRO,Administrative Offices
Christie Pits,Other,750 Bloor St W,Toronto,M6G 3K4,29536,Square feet,100,0,32301.893854999998,kWh,12120.524285,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24329.074228269998,5.4257634339245113,NA,CHTP,Outdoor Recreational Facilities
Centre Island Buildings,Other,0 Centre Isld,Toronto,M5J 2V3,11926,Square feet,100,0,359270.63157300005,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15807.907789212002,30.125115590639354,NA,CIB,Outdoor Recreational Facilities
Centre Island Police Division,Police stations and associated offices and facilities,0 Centre Isl Unit Pl Stn,Toronto,M5J 2V3,1001,Square feet,168,0,16943.841344,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745.52901913599999,16.926984958380555,NA,CIPD,Police Stations
Church Isabella Resident Coop,Social housing,56 Wellesley St E,Toronto,M4Y 1N4,19106,Square feet,168,0,908.91333899999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.992186915999994,4.7572339900497876E-2,NA,CIRC,Shelters & Housing
City Kids Childcare Centre,Other,34 Bathurst,Toronto,M5V 2P1,8460,Square feet,100,0,69389.779687000002,kWh,9991.1708269999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21936.463169257997,20.669543891189193,NA,CKCCC,Child Care Facilities
North York Central,Public libraries,5120 Yonge St,Toronto,M2N 6L4,168014,Square feet,70,0,2282545.2200000002,kWh,163266.13380700001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409004.98257523001,23.843930624219858,NA,CL,Public Libraries
Close Avenue Parkette,Other,50 Close Ave,Toronto,M6K 2V2,0,Square feet,100,0,13634.068274000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.89900405599997,NA,NA,CLAP,Outdoor Recreational Facilities
Clarence Square,Other,25 Clarence Sq,Toronto,M5V 1H1,0,Square feet,100,0,3489.3604150000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.53185826000001,NA,NA,CLASQ,Outdoor Recreational Facilities
Columbus Parkette,Other,1981 Dundas St W,Toronto,M6R 1W7,226,Square feet,100,0,4467.8199449999993,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.58407757999996,19.76919717219662,NA,CLBP,Outdoor Recreational Facilities
Clydesdale Park Tennis,Other,116 Clydesdale Dr,Toronto,M2J 3N2,2185,Square feet,100,0,67766.578324999995,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2981.7294462999994,31.014581549539137,NA,CLDP,Outdoor Recreational Facilities
Craigleigh Gardens,Other,149 South Dr,Toronto,M4W 1S3,0,Square feet,100,0,20289.033212999999,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,892.71746137199989,NA,NA,CLGD,Outdoor Recreational Facilities
Cummer Lodge,Long-term care,205 Cummer Ave,Toronto,M2M 2E8,243200,Square feet,168,0,4712908.1809489997,kWh,712609.67215700005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1554200.2403384859,50.311548271397946,NA,CLOD,Long Term Care Homes
College Park,Other,484 Yonge St,Toronto,M4Y 1X5,0,Square feet,100,0,3635.7341200000001,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.97230127999998,NA,NA,CLSP,Outdoor Recreational Facilities
Coleman Park,Other,19 Coleman Ave,Toronto,M4C 1P8,226,Square feet,100,0,3559.5804710000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.621540724,15.750421692855292,NA,CMP,Outdoor Recreational Facilities
Community Centre 55,Community centres,97 Main St,Toronto,M4E 2V6,8999,Square feet,100,0,61873.648866999996,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2722.4405501479996,6.87564247959443,NA,COM55C,Community Centres
Commander Park C.C,Community centres,140 Commander Blvd,Toronto,M1S 3H7,56317,Square feet,100,0,977953.35,kWh,47598.999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132992.05739810999,26.2877651897895,NA,COMMC,Community Centres
Cosburn Ave Unit Haldo,Other,530 Cosburn Ave,Toronto,M4J 4Y7,0,Square feet,100,0,48740.577553000003,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2144.585412332,NA,NA,COSBUR,Outdoor Recreational Facilities
Coronation Park,Other,663 Lake Shore Blvd. W,Toronto,M5V 3Y7,8105,Square feet,100,0,253507.49242199998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11154.329666567999,31.278044257028792,NA,CP,Outdoor Recreational Facilities
Clanton Park Baseball,Other,15 Clanton Park Rd,Toronto,M3H 2B5,3025,Square feet,100,0,35965.608705999999,kWh,1.111111,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1584.5867828539999,11.893384555872631,NA,CPBB,Outdoor Recreational Facilities
Centennial Greenhouse,Other,149-151 Elmcrest Rd,Toronto,M9C 3S2,29170,Square feet,168,0,288926.34428899997,kWh,223175.11244299999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434513.72166598594,90.672984813721115,NA,CPGH,Greenhouses
Cumber Sewage Pumping Station,Facilities related to the pumping of sewage,5316 Lawrence Ave E,Toronto,M1C 1R5,635,Square feet,168,0,314196.12193199998,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13824.629365007999,494.79910406694171,NA,CPS,Sewage Pumping Facilities
Centennial Pk Svc Bldg,"Storage facilities where equipment or vehicles are maintained, repaired or stored",149 Elmcrest Rd,Toronto,M9C 3S2,1023,Square feet,70,0,67917.919989000002,kWh,8831.5065219999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19679.935806096,157.52706908324311,NA,CPSB,Storage Facilities
Carr St Parkette,Other,2 Carr St,Toronto,M5T 2M6,194,Square feet,100,0,2.0752000000000002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1308799999999996E-2,1.0696951786941581E-2,NA,CRSP,Outdoor Recreational Facilities
