Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2017,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36
Fire Station 134,Fire stations and associated offices and facilities,16 Montgomery Ave,Toronto,M4R 1C8,7126,Square feet,168,0,41916.379893999998,kWh,13754.851658000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27638.943822370024,26.259199703560355,NA,FS134,Fire Stations
Fire Station 135 - OLD,Fire stations and associated offices and facilities,641 Eglinton Ave W,Toronto,M5N 1C5,10592,Square feet,168,0,32630.093569000001,kWh,25067.325945000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48794.831792941055,28.064546093154469,NA,FS135,Fire Stations
Fire Station 141,Fire stations and associated offices and facilities,"3965 Keele St., Unit 10",North York,M3J 2E1,12500,Square feet,168,0,174736.80345899999,kWh,39351.403810999996,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81045.993230242588,47.212830757404397,NA,FS141,Fire Stations
Fire Station 142,Fire stations and associated offices and facilities,2753 Jane Street,North York,M3L 2M1,5586,Square feet,168,0,118466.89331499999,kWh,21722.376167999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45530.588941927919,62.260121338259296,NA,FS142,Fire Stations
Fire Station 143,Fire stations and associated offices and facilities,1009 Sheppard Ave. W,North York,M3H 2T7,2895,Square feet,168,0,77064.736210000003,kWh,19383.157875000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39596.321687118754,97.301613187379161,NA,FS143,Fire Stations
Fire Station 145,Fire stations and associated offices and facilities,20 Beffort Rd.,North York,M3K 2B1,11001,Square feet,168,0,103644.674679,kWh,27506.631088999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55985.280301906416,35.817260148131261,NA,FS145,Fire Stations
Fire Station 146,Fire stations and associated offices and facilities,2220 Jane Street,North York,M3M 1A4,7535,Square feet,168,0,58264.754102999999,kWh,15277.388262,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31119.832855146782,29.136633661989553,NA,FS146,Fire Stations
Fire Station 211,Fire stations and associated offices and facilities,900 Tapscott Rd,Scarborough,M1X 1C3,5005,Square feet,168,0,128822.76875,kWh,11142.126516,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25804.205996180041,49.240345089320257,NA,FS211,Fire Stations
Fire Station 212,Fire stations and associated offices and facilities,8500 Sheppard Ave East,Scarborough,M1B 5R4,16501,Square feet,168,0,203978.32533300002,kWh,50739.050884999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103731.68728771365,44.822650051390497,NA,FS212,Fire Stations
Fire Station 213,Fire stations and associated offices and facilities,7 Lapsley Rd,Scarborough,M1B 1K1,5048,Square feet,168,0,53653.098493999998,kWh,13721.752752,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27998.588031230884,39.324565725297575,NA,FS213,Fire Stations
Fire Station 214,Fire stations and associated offices and facilities,745 Meadowvale Rd,Scarborough,M1C 1T1,4887,Square feet,168,0,49169.427833000002,kWh,17568.653548000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35145.094860588128,48.012580452195976,NA,FS214,Fire Stations
Fire Station 215,Fire stations and associated offices and facilities,5318 Lawrence Ave E,Scarborough,M1C 1R4,5737,Square feet,168,0,55180.510686999995,kWh,13134.325806000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26937.645775132143,33.787085255230146,NA,FS215,Fire Stations
Fire Station 221,Fire stations and associated offices and facilities,2575 Eglinton Ave E,Scarborough,M1K 2R8,11916,Square feet,168,0,140598.76729399999,kWh,24787.177908000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52149.509622632526,33.758924436699374,NA,FS221,Fire Stations
Fire Station 222,Fire stations and associated offices and facilities,755 Warden Ave,Scarborough,M1L 4B3,6910,Square feet,168,0,56182.071190999995,kWh,15681.878111,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31813.261591561593,32.088558676142092,NA,FS222,Fire Stations
Fire Station 223,Fire stations and associated offices and facilities,116 Dorset Rd,Scarborough,M1M 2T1,7459,Square feet,168,0,45281.699946999994,kWh,12462.290444,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25304.629731654361,23.708693949553169,NA,FS223,Fire Stations
Fire Station 224,Fire stations and associated offices and facilities,1313 Woodbine Ave,Toronto,M4C 4E9,3767,Square feet,168,0,58792.835816999999,kWh,11637.272580999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24223.752438811891,48.220025132003514,NA,FS224,Fire Stations
Fire Station 225,Fire stations and associated offices and facilities,3600 Danforth Ave,Scarborough,M1N 4E9,9085,Square feet,168,0,91962.359647000005,kWh,26191.235403999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53065.872931916761,40.556633399285829,NA,FS225,Fire Stations
Fire Station 226,Fire stations and associated offices and facilities,85 Main St,Toronto,M4E 2V6,11808,Square feet,168,0,51934.790813,kWh,28079.30241,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55211.622464520908,29.502127911627881,NA,FS226,Fire Stations
Fire Station 227,Fire stations and associated offices and facilities,1904 Queen St E,Toronto,M4L 1H4,10484,Square feet,168,0,72581.926376000003,kWh,19114.944705999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38925.418658077142,26.17072518441028,NA,FS227,Fire Stations
Fire Station 231,Fire stations and associated offices and facilities,740 Markham Rd,Scarborough,M1H 2A9,14241,Square feet,168,0,150342.81057999999,kWh,45419.637741999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91695.572802979979,44.226325839350984,NA,FS231,Fire Stations
Fire Station 232,Fire stations and associated offices and facilities,1550 Midland Ave,Scarborough,M1P 3C2,5350,Square feet,168,0,73787.695066999993,kWh,13290.06199,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27903.354884195098,40.016418255331047,NA,FS232,Fire Stations
Fire Station 233,Fire stations and associated offices and facilities,59 Curlew Dr,North York,M3A 2P8,11001,Square feet,168,0,75686.495681999993,kWh,21473.063979999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43516.878756718201,27.485913641690658,NA,FS233,Fire Stations
Fire Station 234,Fire stations and associated offices and facilities,40 Coronation Dr,Scarborough,M1E 2H1,5350,Square feet,168,0,50210.251127000003,kWh,13272.398696999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27021.01212127593,35.574547393245375,NA,FS234,Fire Stations
Fire Station 235,Fire stations and associated offices and facilities,200 Bermondsey Rd.,North York,M4A 1Y1,8902,Square feet,168,0,98802.42841800001,kWh,20573.841439,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42640.808266301909,35.497157860673781,NA,FS235,Fire Stations
Fire Station 241,Fire stations and associated offices and facilities,3325 Warden Ave,Scarborough,M1W 3L6,5500,Square feet,168,0,43569.512219000004,kWh,11028.672928,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22519.562114476321,29.090293542271262,NA,FS241,Fire Stations
Fire Station 242,Fire stations and associated offices and facilities,2733 Brimley Rd,Scarborough,M1V 1T4,5500,Square feet,168,0,61287.565188,kWh,16142.529354999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32872.153937167946,42.127351784454866,NA,FS242,Fire Stations
Fire Station 243,Fire stations and associated offices and facilities,4560 Sheppard Ave E,Scarborough,M1S 1V2,5350,Square feet,168,0,45186.220939999999,kWh,17321.654494000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34532.477779546862,42.625560825095718,NA,FS243,Fire Stations
Fire Station 244,Fire stations and associated offices and facilities,2340 Birchmount Rd,Scarborough,M1T 2M3,5350,Square feet,168,0,52777.30646,kWh,13830.249091,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28173.168928241794,37.155136561948453,NA,FS244,Fire Stations
Fire Station 245,Fire stations and associated offices and facilities,1600 Birchmount Rd,Scarborough,M1P 2H6,5608,Square feet,168,0,52535.763200000001,kWh,11758.466328,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24228.728373838319,31.502701110683265,NA,FS245,Fire Stations
Fire Station 311,Fire stations and associated offices and facilities,20 Balmoral Ave,Toronto,M4V 1J4,12755,Square feet,168,0,47248.648625999995,kWh,14600.884146,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29438.104953850743,15.788843575175825,NA,FS311,Fire Stations
Fire Station 312,Fire stations and associated offices and facilities,34 Yorkville Ave,Toronto,M4W 1L4,9806,Square feet,168,0,108098.219054,kWh,25288.982206000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51932.762492860144,38.248835553861937,NA,FS312,Fire Stations
Fire Station 313,Fire stations and associated offices and facilities,441 Bloor St E 2 Fl,Toronto,M4W 1J1,12099,Square feet,168,0,132247.56136700002,kWh,33073.497781999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67590.305210699575,39.788138979042003,NA,FS313,Fire Stations
Fire Station 314,Fire stations and associated offices and facilities,12 Grosvenor St,Toronto,M4Y 1A8,11937,Square feet,168,0,50866.472307999997,kWh,24241.851516999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47883.195911417737,25.700075516218469,NA,FS314,Fire Stations
Fire Station 315,Fire stations and associated offices and facilities,132 Bellevue Av,Toronto,M5T 2N9,7244,Square feet,168,0,101059.021926,kWh,28855.71875,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58455.0451415235,56.002483960739625,NA,FS315,Fire Stations
Fire Station 321,Fire stations and associated offices and facilities,231 McCrae Ave,East York,M4G 1T6,7535,Square feet,168,0,105289.10924200001,kWh,26143.853544999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53455.625073613046,50.601675011420198,NA,FS321,Fire Stations
Fire Station 322,Fire stations and associated offices and facilities,256 Cosburn Ave,Toronto,M4J 2M1,7535,Square feet,168,0,47289.372000000003,kWh,15249.634114999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30671.994823924349,27.641156373441234,NA,FS322,Fire Stations
Fire Station 323,Fire stations and associated offices and facilities,153 Chatham Ave,Toronto,M4J 1K8,10236,Square feet,168,0,108988.179059,kWh,38942.397647000005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77902.057832153441,50.810249229853042,NA,FS323,Fire Stations
Fire Station 324,Fire stations and associated offices and facilities,840 Gerrard St E,Toronto,M4M 1Y7,13153,Square feet,168,0,57169.67686,kWh,20924.551353999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41808.269328640257,21.140814296119505,NA,FS324,Fire Stations
Fire Station 325,Fire stations and associated offices and facilities,475 Dundas St E,Toronto,M5A 2B5,10129,Square feet,168,0,125354.58622500001,kWh,26531.655226999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54914.68522227963,40.027950086457658,NA,FS325,Fire Stations
Fire Station 331,Fire stations and associated offices and facilities,31 Claremont St,Toronto,M6J 2M3,10979,Square feet,168,0,81964.226846000005,kWh,24086.418823,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48707.441140320865,30.625632732461302,NA,FS331,Fire Stations
Fire Station 332,Fire stations and associated offices and facilities,260 Adelaide St W,Toronto,M5H 1X6,24865,Square feet,168,0,281311.08566699998,kWh,73381.615248999995,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149529.51975638483,42.468669889619925,NA,FS332,Fire Stations
Fire Station 333,Fire stations and associated offices and facilities,201 Front St E,Toronto,M5A 1E7,12723,Square feet,168,0,127109.48206000001,kWh,32438.761211999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66199.531640984278,36.906220135550427,NA,FS333,Fire Stations
Fire Station 334,Fire stations and associated offices and facilities,339 Queens Quay West,Toronto,M5V 1A2,13003,Square feet,168,0,346143.16525799996,kWh,19776.690567999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50030.735254411913,42.676470495265825,NA,FS334,Fire Stations
Fire Station 335,Fire stations and associated offices and facilities,235 Cibola Ave,Toronto,M5J 2W6,4402,Square feet,168,0,86053.891793000003,kWh,10310.150682,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22684.030253636582,44.274400908948628,NA,FS335,Fire Stations
Fire Station 341,Fire stations and associated offices and facilities,555 Oakwood Ave,Toronto,M6E 2X4,9268,Square feet,168,0,77088.575683999996,kWh,26137.536452,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52428.40534712388,38.089801703929787,NA,FS341,Fire Stations
Fire Station 342,Fire stations and associated offices and facilities,106 Ascot Ave,Toronto,M6E 1G2,3057,Square feet,168,0,24192.215750000003,kWh,12072.284828000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23804.518531903323,49.603004611882753,NA,FS342,Fire Stations
Fire Station 343,Fire stations and associated offices and facilities,65 Hendrick Av,Toronto,M6G 3S3,9827,Square feet,168,0,52679.783062000002,kWh,22342.453635999998,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44340.207938004838,29.362333875159806,NA,FS343,Fire Stations
Fire Station 344,Fire stations and associated offices and facilities,240 Howland Ave,Toronto,M5R 3B6,11238,Square feet,168,0,68891.717934999993,kWh,21717.897499999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43737.374547435,26.53162268044986,NA,FS344,Fire Stations
Fire Station 345,Fire stations and associated offices and facilities,1287 Dufferin St,Toronto,M6H 4C2,12809,Square feet,168,0,119253.66608,kWh,39648.185634000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79612.39374593347,41.986889438764294,NA,FS345,Fire Stations
Fire Station 411,Fire stations and associated offices and facilities,75 Toryork Dr,North York,M9L 1X9,8762,Square feet,168,0,79637.110851999998,kWh,13385.604812,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28295.435595980278,25.216377461462859,NA,FS411,Fire Stations
Fire Station 412,Fire stations and associated offices and facilities,267 Humberline Dr,Etobicoke,M9W 5T6,7029,Square feet,168,0,73903.308617000002,kWh,20764.266373000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42106.188296336375,41.699636330477311,NA,FS412,Fire Stations
Fire Station 413,Fire stations and associated offices and facilities,1549 Albion Rd,Etobicoke,M9W 1B2,3929,Square feet,168,0,30906.696650999998,kWh,6894.7819120000004,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14210.589329843282,26.391779204417549,NA,FS413,Fire Stations
Fire Station 415,Fire stations and associated offices and facilities,2120 Kipling Ave,Etobicoke,M9W 4K5,7804,Square feet,168,0,67311.056408999997,kWh,10315.868627,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22020.150502749631,22.579877271451664,NA,FS415,Fire Stations
Fire Station 421,Fire stations and associated offices and facilities,6 Lambton Ave,Toronto,M6N 2S1,9461,Square feet,168,0,104843.72783199999,kWh,24957.421849000002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51185.738914278816,38.929645653493751,NA,FS421,Fire Stations
Fire Station 422,Fire stations and associated offices and facilities,590 Jane St,Toronto,M6S 4A6,7944,Square feet,168,0,62149.107411999998,kWh,16548.806129000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33674.96938203201,29.815073280973369,NA,FS422,Fire Stations
Fire Station 423,Fire stations and associated offices and facilities,358 Keele St,Toronto,M6P 2K7,12335,Square feet,168,0,104212.37009099999,kWh,31114.590625000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62859.721987682249,35.077559483841846,NA,FS423,Fire Stations
Fire Station 424,Fire stations and associated offices and facilities,462 Runnymede Rd,Toronto,M6S 2Z3,5866,Square feet,168,0,38844.395424000002,kWh,8792.8622319999995,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18102.110688772082,22.446059996050771,NA,FS424,Fire Stations
Fire Station 425,Fire stations and associated offices and facilities,83 Deforest Rd,Toronto,M6S 1J5,7955,Square feet,168,0,43547.229615000004,kWh,8860.4119050000008,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18399.736157949454,17.232501143606793,NA,FS425,Fire Stations
Fire Station 426,Fire stations and associated offices and facilities,140 Lansdowne Ave,Toronto,M6K 2V9,12486,Square feet,168,0,159998.180521,kWh,31617.773977999997,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65823.903547022812,39.546669786366458,NA,FS426,Fire Stations
Fire Station 431,Fire stations and associated offices and facilities,308 Prince Edward Dr,Etobicoke,M8Y 3Z2,3907,Square feet,168,0,35928.118642000001,kWh,9789.1458070000008,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19889.754669211834,35.646228212903097,NA,FS431,Fire Stations
Fire Station 432,Fire stations and associated offices and facilities,155 The East Mall,Etobicoke,M8Z 5Y5,11765,Square feet,168,0,103391.306952,kWh,27275.424898000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55536.938974753626,33.26234803362869,NA,FS432,Fire Stations
Fire Station 433,Fire stations and associated offices and facilities,615 Royal York Rd,Etobicoke,M8Y 2S8,5038,Square feet,168,0,111407.992335,kWh,10515.796990000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23987.442107993102,44.148685040321482,NA,FS433,Fire Stations
Fire Station 434,Fire stations and associated offices and facilities,3 Lunness Rd,Etobicoke,M8W 4M2,5188,Square feet,168,0,27263.478018999998,kWh,10658.706816,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21229.723959971041,26.943884605404754,NA,FS434,Fire Stations
Fire Station 435,Fire stations and associated offices and facilities,130 Eighth St,Etobicoke,M8V 3C6,6889,Square feet,168,0,75670.548234999995,kWh,12755.480389,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26955.598276639408,30.530883355986454,NA,FS435,Fire Stations
Fire Station 441,Fire stations and associated offices and facilities,947 Martingrove Rd,Etobicoke,M9W 4V6,19472,Square feet,168,0,121927.45567900001,kWh,17102.180118,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36878.228952807425,15.533657006549488,NA,FS441,Fire Stations
Fire Station 442,Fire stations and associated offices and facilities,2015 Lawrence Ave W,Toronto,M9N 3V5,15479,Square feet,168,0,201878.46398100001,kWh,19030.186967000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43419.080582656228,26.020814851309648,NA,FS442,Fire Stations
Fire Station 443,Fire stations and associated offices and facilities,1724 Islington Ave,Etobicoke,M9A 3N2,3929,Square feet,168,0,38236.187485000002,kWh,9175.1479589999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18806.439575692712,34.384339919144772,NA,FS443,Fire Stations
Fire Station 444,Fire stations and associated offices and facilities,666 Renforth Dr,Etobicoke,M9C 2N6,3929,Square feet,168,0,33160.992337000003,kWh,7265.8604460000006,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14996.678154793743,27.962582881040099,NA,FS444,Fire Stations
Fire Station 445,Fire stations and associated offices and facilities,280 Burnhamthorpe Rd,Etobicoke,M9B 1Z5,11765,Square feet,168,0,119162.55703600001,kWh,18144.180666,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38758.170622689548,26.409400446656043,NA,FS445,Fire Stations
Fire Training Centre,Fire stations and associated offices and facilities,4562 Sheppard Ave E,Scarborough,M1S 1V2,7998,Square feet,168,0,73605.490330999994,kWh,14066.451613000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29371.695116615974,27.769665136283859,NA,FIRETC,Fire Stations
HUSAR,Fire stations and associated offices and facilities,21 Old Eglinton,North York,M4A 0A2,11485,Square feet,168,0,233657.18825899999,kWh,25043.136242,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55985.854264888985,43.363712662007231,NA,HUSAR,Fire Stations
Rotherham Ave 15,Fire stations and associated offices and facilities,15 Rotherham Ave,Toronto,M6M 1L9,23002,Square feet,168,0,158350.286337,kWh,26789.851928,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56593.024117234323,19.179404465835834,NA,RA15,Fire Stations
Toryork Office,Fire stations and associated offices and facilities,40 Toryork Dr,North York,M9L 1X6,42625,Square feet,168,0,679969.60984599998,kWh,109679.893048,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232836.70197881112,43.116373797563043,NA,TYO,Fire Stations
Allan Gardens,Other,160 Gerrard St E,Toronto,M5A 2P2,25177,Square feet,168,0,214202.719193,kWh,166842.635408,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324660.58394917153,78.465236806258005,NA,AGDN,Greenhouses
Centennial Greenhouse,Other,149-151 Elmcrest Rd,Etobicoke,M9C 3S2,29170,Square feet,168,0,274793.93888799998,kWh,213361.091614,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415212.51392816764,86.636762362238528,NA,CPGH,Greenhouses
Cloud Gardens,Other,14 Temperance St.,Toronto,M5H 1YR,6243,Square feet,168,0,171801.83421300002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56688.284269729302,65.780073940306281,NA,14TEMP,Greenhouses
High Park Greenhouses,Other,15 High Park,Toronto,M6P 2R5,60386,Square feet,168,0,578809.49958199996,kWh,506097.60096900002,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982265.69356975169,98.061748437918212,NA,HIPG,Greenhouses
Riverlea Greenhouse,Other,919 Scarlett Rd,Etobicoke,M9P 2V3,17018,Square feet,168,0,97700.794811,kWh,90367.499284000005,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175187.46332801797,61.798573157125773,NA,RLGH,Greenhouses
Rockcliffe GreenHouse,Other,301 Rockcliffe Blvd,Toronto,M6N 5G6,12271,Square feet,168,0,85149.371197999993,kWh,89641.001250000001,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173355.49102774053,84.057304654870165,NA,ROCKPR,Greenhouses
Agincourt Arena and R.C,Indoor recreational facilities,31 Glen Watford Dr,Scarborough,M1S 2B7,93398,Square feet,100,0,2141347.4547740002,kWh,357763.693272,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756728.61884374975,63.365141925561289,NA,AGINA,Indoor Recreational Facilities
Antibes Park,Indoor recreational facilities,140 Antibes Dr,North York,M2R 3J3,18492,Square feet,100,0,392585.50688600005,kWh,64760.716875999999,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137158.36449006444,58.200827932557011,NA,ANBP,Indoor Recreational Facilities
Beaches R.C,Indoor recreational facilities,6 Williamson Rd,Toronto,M4E 1K5,14445,Square feet,100,0,161322.83775900002,kWh,0,Cubic meter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5807.6221593239998,11.168121144859168,NA,BEACC,Indoor Recreational Facilities
