Press TAB to move to input areas. Press UP or DOWN ARROW in column A to read through the document.,Energy Consumption and Greenhouse Gas Emissions Reporting - for 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirm consecutive 12-mth period (mth-yr to mth-yr),Jan/2015 - Dec/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Sub-sector,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,City of Toronto,"Please fill in the mandatory fields indicated in red, in addition to submitting data on your energy usage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit,Avg hrs/wk,Annual Flow (Mega Litres),Energy Type and Amount Purchased and Consumed in Natural Units,,,,,,,,,,,,,,,,,,,,,,Total (calculated in webform),,,,
,,,,,,,,,Electricity,,Natural Gas,,Fuel Oil 1 & 2,,Fuel Oil 4 & 6,,Propane,,Coal,,Wood,,District Heating,,,,District Cooling,,,,"GHG Emissions
(Kg)","Energy Intensity
(ekWh/sqft)","Energy Intensity
(ekWh/Mega Litre)",Building / Operation Identifier,Comments
,,,,,,,,,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",Quantity,Unit,Renewable?,"If Yes, enter Emission Factor",,,,,
Assessment & Referral Ctr (129 Peter),Social housing,342 RICHMOND ST W,Toronto,M5V 1X2,11780,Square feet,168,0,245220.1938,kWh,23162.545,Cubic meter,,,,,,,,,,,,,,,,,,,"54,567",41.6,,129PET,Shelters & Housing
#12 Police Division,Police stations and associated offices and facilities,200 Trethewey Dr,Toronto,M6M 4C2,25780,Square feet,168,0,636025.5542,kWh,9850.815147,Cubic meter,,,,,,,,,,,,,,,,,,,"46,603",28.7,,12PD,Police Stations
12 Woodycrest Ave,Parking garages,12 Woodycrest Ave,Toronto,M4J 3A5,14198,Square feet,168,0,3772.635624,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,166,0.3,,12WOOD,Parking Lots and Garages
1325 Queen St W,Parking garages,1325 Queen St W,Toronto,M6K 1L8,12303,Square feet,168,0,13069.91534,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,575,1.1,,1325QU,Parking Lots and Garages
Berry Rd Sewage Pumping Station,Facilities related to the pumping of sewage,132 Berry Rd,Toronto,M8Y 1W2,7244,Square feet,168,69.26657143,12351.21414,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,543,1.7,178.3,132BER,Sewage Pumping Facilities
132 Wellington St W,Parking garages,132 Wellington St W,Toronto,M5J 2H7,0,Square feet,168,0,715417.5514,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"31,478",,,132WEL,Parking Lots and Garages
134 Spadina Rd,Other,134 Spadina Rd,Toronto,M5V 2L4,3369,Square feet,100,0,19299.34224,kWh,10509.03903,Cubic meter,,,,,,,,,,,,,,,,,,,"20,711",38.7,,134SPA,Leasing
135 Greenlaw Ave,Parking garages,135 Greenlaw Ave,Toronto,M6E 1B8,13197,Square feet,168,0,6950.267788,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,306,0.5,,135GRE,Parking Lots and Garages
Leonard Linton Park,Other,135 Vanderhoof,Toronto,M4G 1P2,0,Square feet,100,0,5708.563887,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,251,,,135VAN,Outdoor Recreational Facilities
136 Spadina Rd,Other,136 Spadina Rd,Toronto,M5V 2L4,2626,Square feet,100,0,4771.091473,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,210,1.8,,136SPA,Leasing
139 Marcos Blvd,Other,139 Marcos Blvd,Toronto,M1P 2S2,0,Square feet,100,0,203.547106,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,9,,,139MARC,Outdoor Recreational Facilities
Norman Jewison Park,Other,13 Isabella St,Toronto,M1T 3T7,0,Square feet,168,0,5005.192482,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,220,,,13ISAB,Outdoor Recreational Facilities
#13 Police Division,Police stations and associated offices and facilities,1435 Eglinton Ave.W.,Toronto,M6C 3M8,20344,Square feet,168,0,522653.3565,kWh,51048.26779,Cubic meter,,,,,,,,,,,,,,,,,,,"119,478",52.2,,13PD,Police Stations
Greyabbey Trail Sewage Pumping Station,Facilities related to the pumping of sewage,144 Greyabbey Trail,Toronto,M1E 1V9,1001,Square feet,168,50.95232665,0,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"2,348",53.3,"1,047.3",144GRE,Sewage Pumping Facilities
146 Harrison St,Parking garages,146 Harrison St,Toronto,M6J 2A4,15812,Square feet,168,0,4831.461285,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,213,0.3,,146HAR,Parking Lots and Garages
149 Hiawatha Rd,Parking garages,149 Hiawatha Rd,Toronto,M4L 2J6,1399,Square feet,168,0,5047.634515,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,222,3.6,,149HIA,Parking Lots and Garages
14 Castlefield Ave,Parking garages,14 Castlefield Ave,Toronto,M4R 1G4,37620,Square feet,168,0,37023.65854,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,629",1.0,,14CAST,Parking Lots and Garages
Cloud Gardens,Other,14 Temperance St.,Toronto,M5H 1YR,6243,Square feet,168,0,103324.6449,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"50,757",50.4,,14TEMP,Greenhouses
Richview Park,Other,150 Brampton Rd,Toronto,M9R 1Y5,0,Square feet,100,0,9434.77304,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,415,,,150BRA,Outdoor Recreational Facilities
Elmcrest Park,Other,150 Elmcrest Rd,Toronto,M9C 3S1,0,Square feet,100,0,41473.94009,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,825",,,150ELM,Outdoor Recreational Facilities
Rotary Peace Park,Other,153 Lake Shore Dr,Toronto,M8V 2A1,1647,Square feet,100,0,7716.43639,kWh,2384.791765,Cubic meter,,,,,,,,,,,,,,,,,,,"4,847",20.0,,153LAK,Outdoor Recreational Facilities
Danforth Avenue Parkettle,Other,1549 Danforth Ave,Toronto,M4J 1N4,0,Square feet,100,0,2298.742085,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,101,,,1549DA,Outdoor Recreational Facilities
Sisken Trail Park,Other,157 Staines Rd,Toronto,M1X 1V3,0,Square feet,100,0,922.035574,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,41,,,157STAINES,Outdoor Recreational Facilities
15 Wellesley St E,Parking garages,15 Wellesley St E,Toronto,M4Y 3A6,41603,Square feet,168,0,34870.28217,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"1,534",0.8,,15WELL,Parking Lots and Garages
1608 Danforth Ave,Parking garages,1608 Danforth Ave,Toronto,M4C 1H6,8708,Square feet,168,0,7133.53121,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,314,0.8,,1608DA,Parking Lots and Garages
161 Dynevor Rd,Other,161 Dynevor Rd,Toronto,M6E 3X5,0,Square feet,100,0,2871.039201,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,126,,,161DYNEVOR,Leasing
161 Spadina Rd,Other,161 Spadina Rd,Toronto,M5R 2T8,0,Square feet,100,0,3048.407148,kWh,7215.709679,Cubic meter,,,,,,,,,,,,,,,,,,,"13,772",,,161SPAD,Leasing
Woodbine Park,Other,1695 Queen St E,Toronto,M4L 1G5,0,Square feet,100,0,228197.3011,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"10,041",,,1695QU,Outdoor Recreational Facilities
1699 Lake Shore Blvd W,Other,1699 Lake Shore Blvd W,Toronto,M6S 5A3,0,Square feet,168,0,9754.74602,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,429,,,1699LA,Water Misc Service
Osler Walkway,Other,16A Osler St,Toronto,M6P 4A2,0,Square feet,100,0,17537.56506,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,772,,,16AOSLER,Outdoor Recreational Facilities
16 Fuller Ave,Parking garages,16 Fuller Ave,Toronto,M6R 2C4,19547,Square feet,168,0,8287.934942,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,365,0.4,,16FULL,Parking Lots and Garages
16 Lipton Ave,Parking garages,16 Lipton Ave,Toronto,M4K 3S7,0,Square feet,168,0,7336.298,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,323,,,16LIPT,Parking Lots and Garages
16 Rosehill Ave,Parking garages,16 Rosehill Ave,Toronto,M4T 2B7,0,Square feet,168,0,1093677.36,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,"48,122",,,16ROSE,Parking Lots and Garages
170 Sumach Park,Other,170 Sumach St,Toronto,M5A 0C3,0,Square feet,100,0,2909.518626,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,128,,,170SUMACH,Outdoor Recreational Facilities
1739 Bayview,Other,1739 Bayview Ave,East York,M4G 3C1,0,Square feet,168,0,908.869776,kWh,0,Cubic meter,,,,,,,,,,,,,,,,,,,40,,,1739BA,Sewage Pumping Facilities
