_id,ADDRESS_POINT_ID,ADDRESS_POINT_ID_LINK,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,GENERAL_USE,CENTRELINE_ID,CENTRELINE_SIDE,CENTRELINE_MEASURE,ADDRESS_CLASS_DESC,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,BUILDING_NAME,CLIENT_ADDRESS,TYPE_INSTALL,YEAR_INSTALL,SIZE_INSTALL,UNIT_MAX_POWER,ENERGY_OUTPUT,UNIT_ANNUAL,LANDLORD,SYSTEM_OWNERSHIP,FORMER_MUNICIPALITY,CLIENT_ADDR_POINT_ID,OBJECTID,geometry
1,20006001,,9,Hanna Ave,9 Hanna Ave,M6K 1W8,former Toronto,Toronto,Spadina-Fort York (10 ),,113001,Industrial Location,1147118,R,-47.66,Land,9,,,,3602,,,,,1,Traffic Services and Garage,9 Hanna Ave,FIT 1,"Mar 31, 2010",50.0,,,,,,,20006001,1,"{'type': 'Point', 'coordinates': (-79.417220801414, 43.6376228367342)}"
2,4257357,,850,Coxwell Ave,850 Coxwell Ave,M4C 5R1,East York,Toronto,Toronto-Danforth (14 ),East York Civic Centre,104001,Municipal City Hall,4257358,L,71.8,Land,850,,,,71,,,,,2,East York Civic Centre PV System,850 Coxwell Avenue,FIT 1,"Feb 8, 2012",30.0,,,,,,,4257357,2,"{'type': 'Point', 'coordinates': (-79.3278994155093, 43.6909791267225)}"
3,7985900,,462,Runnymede Rd,462 Runnymede Rd,M6S 2Z3,former Toronto,Toronto,Parkdale-High Park (4 ),Fire Station 424,103002,Fire Station,7985886,L,22.0,Land,462,,,,866,,,,,3,Firehall 424,462 Runnymede Rd,MircoFIT,"Dec 23, 2010",1.2,,,,,,,7985900,3,"{'type': 'Point', 'coordinates': (-79.4796294010287, 43.6583545553016)}"
4,14069050,,339,Queens Quay W,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,Spadina-Fort York (10 ),"Hto Park,Maple Leaf Quay",103005,Fire/Ambulance Stations,10223459,L,195.2,Land,339,,,,4244,,,,,4,Firehall 334,339 Queens Quay West,MircoFIT,"Jul 12, 2010",3.2,,,,,,,14069050,4,"{'type': 'Point', 'coordinates': (-79.388613016358, 43.6376903109341)}"
5,7348693,,31,Drummond St,31 Drummond St,M8V 1Y7,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),Mimico Arena - Building Grounds,106005,Sport Complex,7348685,L,154.04,Land,31,,,,1486,,,,,5,Mimico Arena,31 Drummond Street,FIT 1,"Feb 27, 2013",62.0,,,,,,,7348693,5,"{'type': 'Point', 'coordinates': (-79.4988290901752, 43.6123933210181)}"
6,987966,,70,Birmingham St,70 Birmingham St,M8V 3W6,Etobicoke,Toronto,Etobicoke-Lakeshore (3 ),,113001,Industrial Location,914305,R,104.81,Land,70,,,,1181,,,,,6,Police College - Shooting Range Phase I,70 Birmingham Street,FIT 1,"Mar 26, 2013",216.0,,,,,,,987966,6,"{'type': 'Point', 'coordinates': (-79.5034791058314, 43.6050756358877)}"
7,482523,,45,Ancaster Rd,45 Ancaster Rd,M3K 1S7,North York,Toronto,York Centre (6 ),,104008,Other Office Building,30093012,R,33.74,Land,45,,,,4795,,,,,86,Ancaster Child Care Centre,45 Ancaster Rd,MicroFIT C,"Aug 1, 2017",10.0,,,,,,,482523,86,"{'type': 'Point', 'coordinates': (-79.4660111463244, 43.7330258269539)}"
8,7369114,,23,Grandravine Dr,23 Grandravine Dr,M3J 1B3,North York,Toronto,York Centre (6 ),Grandravine Park,106007,Community/Assembly Hall,7369138,L,2.05,Land,23,,,,5733,,,,,7,Grandravine CC & Arena,23 Grandravine Drive,FIT 1,"Mar 27, 2013",90.0,,,,,,,7369114,7,"{'type': 'Point', 'coordinates': (-79.4897156157261, 43.7517531447405)}"
9,12623513,,1300,Sheppard Ave W,1300 Sheppard Ave W,M3K 2A6,North York,Toronto,York Centre (6 ),,115001,Unknown,12623514,R,235.97,Land,1300,,,,6699,,,,,84,North York Animal Centre,1300 Sheppard Ave W,MicroFIT C,"June 19, 2017",10.0,,,,,,,12623513,84,"{'type': 'Point', 'coordinates': (-79.4828147093058, 43.7532039209859)}"
10,7583388,,600,Roding St,600 Roding St,M3M 2A5,North York,Toronto,York Centre (6 ),Roding Park,106007,Community/Assembly Hall,30037267,L,27.45,Land,600,,,,6573,,,,,8,Roding CC & Arena,600 Roding Street,FIT 1,"Mar 22, 2013",75.0,,,,,,,7583388,8,"{'type': 'Point', 'coordinates': (-79.4925005879096, 43.7290920275721)}"
11,522461,,45,Goulding Ave,45 Goulding Ave,M2M 1K8,North York,Toronto,Willowdale (18 ),Goulding Community Centre,106007,Community/Assembly Hall,436936,L,80.04,Land,45,,,,5727,,,,,9,Goulding Park Cc & Arena,45 Goulding Ave,FIT 1,"Mar 3, 2013",75.0,,,,,,,522461,9,"{'type': 'Point', 'coordinates': (-79.4221400423368, 43.79090328450461)}"
12,20015342,,2539,Bayview Ave,2539 Bayview Ave,M2L 1B1,North York,Toronto,Don Valley West (15 ),,106005,Sport Complex,30100673,R,33.23,Land,2539,,,,24,,,,,10,York Mills Arena,2539 Bayview Ave,FIT 1,"Feb 27, 2013",75.0,,,,,,,20015342,10,"{'type': 'Point', 'coordinates': (-79.383508508669, 43.7475982824404)}"
13,6682366,,190,Bermondsey Rd,190 Bermondsey Rd,M4A 1Y1,North York,Toronto,Don Valley East (16 ),Victoria Village Arena - Building Grounds,106005,Sport Complex,6682365,L,14.4,Land,190,,,,31,,,,,11,Victoria Village Arena,190 Bermondsey Road,FIT 1,"Mar 1, 2013",90.0,,,,,,,6682366,11,"{'type': 'Point', 'coordinates': (-79.3157901802586, 43.7230899615605)}"
14,6436448,,2231,Lawrence Ave E,2231 Lawrence Ave E,M1P 2P5,Scarborough,Toronto,Scarborough Centre (21 ),McGregor Park,106007,Community/Assembly Hall,6436449,R,-55.56,Land,2231,,,,3828,,,,,12,McGregor Arena,2231 Lawrence Ave E,FIT 1,"Feb 27, 2013",94.0,,,,,,,6436448,12,"{'type': 'Point', 'coordinates': (-79.2801490008504, 43.7476285889232)}"
15,337821,,31,Glen Watford Dr,31 Glen Watford Dr,M1S 2B7,Scarborough,Toronto,Scarborough North (23 ),Agincourt Community Centre,106007,Community/Assembly Hall,106386,R,56.17,Land,31,,,,7984,,,,,13,Agincourt Park Arena,31 Glen Watford Drive,FIT 1,"Feb 20, 2013",48.0,,,,,,,337821,13,"{'type': 'Point', 'coordinates': (-79.27628992669591, 43.7884058264924)}"
16,384412,,30,Sewell's Rd,30 Sewell's Rd,M1B 3G5,Scarborough,Toronto,Scarborough-Rouge Park (25 ),Malvern Recreation Centre,106007,Community/Assembly Hall,30013273,L,115.58,Land,30,,,,8919,,,,,14,Malvern CC,30 Sewells Road,FIT 1,"Jun 14, 2011",210.0,,,,,,,384412,14,"{'type': 'Point', 'coordinates': (-79.2163862372284, 43.8085677057494)}"
17,8327662,,120,Disco Rd,120 Disco Rd,M9W 1M4,Etobicoke,Toronto,Etobicoke North (1 ),,115001,Unknown,908441,R,47.53,Land,120,,,,1465,,,,,15,Disco Transfer Station,120 Disco Road,FIT 3,"Mar 3, 2016",100.0,,,,,,,8327662,15,"{'type': 'Point', 'coordinates': (-79.6024931420654, 43.7006392310588)}"
18,996452,,150,Disco Rd,150 Disco Rd,M9W 1M4,Etobicoke,Toronto,Etobicoke North (1 ),Disco Yard,104008,Other Office Building,908441,R,534.48,Land,150,,,,1465,,,,,16,Disco Yard,150 Disco Road,FIT 3,"Feb 11, 2016",300.0,,,,,,,996452,16,"{'type': 'Point', 'coordinates': (-79.6070138095422, 43.701226697380704)}"
