operation_name,operation_type,city,electricity_quantity,ghg_emissions_kg,year
2454 Bloor St W,Parking garages,Toronto,454.572514,20.001190616,2015
Main Square Comm Ctr,Community centres,Toronto,550685.3589999999,217599.92584883,2015
Island Rd Sewage Pumping Station,Sewage Pumping,Toronto,19106.099545,840.6683799799999,2015
Connorvale Park,Other,Toronto,0,1571.8319703239997,2015
253 Macpherson Ave,Parking garages,Toronto,3684.562059,162.120730596,2015
Albion Gardens,Other,Toronto,4403.221412,193.74174212799997,2015
Mimico Memorial Park,Other,Toronto,7939.492225999999,349.33765794399994,2015
25 Glenforest Rd,Parking garages,Toronto,5448.949094,239.75376013599998,2015
Edenbridge Sewage Blower,Other,Toronto,11632.608264999999,511.8347636599999,2015
265 Armadale Ave,Parking garages,Toronto,17409.217977,766.005590988,2015
265 Durie St,Parking garages,Toronto,8213.983859,361.41528979599997,2015
266 Besborough,Other,Toronto,51.9168,2.2843392,2015
268 Rhodes Ave,Parking garages,Toronto,4057.644364,178.536352016,2015
2696 Eglinton Ave W,Parking garages,Toronto,22105.336719,972.6348156359999,2015
26 Alvin Ave,Parking garages,Toronto,30387.822106,1337.064172664,2015
279 Wilson Heights Blvd,Other,Toronto,573.30561,25.22544684,2015
Lora Hill Park,Other,Toronto,2531.255311,111.375233684,2015
Botanyhill Park,Other,Toronto,0,283.41358078,2015
North Humber Park Lighting,Other,Toronto,110.334282,4.854708408,2015
Greenfield - Longmore Lands,Other,Toronto,4004.367927,176.19218878799998,2015
291 Mill Rd,Other,Toronto,298.95279999999997,13.153923199999998,2015
295 Unwin Ave,Other,Toronto,21226.365155000003,933.9600668200001,2015
Cliffcrest Employment Services,Administrative Offices,Toronto,104671.78729800001,4605.558641112,2015
29 Erindale Ave,Parking garages,Toronto,11529.860503,507.31386213199994,2015
29 Old Mill Terr,Other,Toronto,53864.131741000005,2370.021796604,2015
Charlotte Maher Park,Other,Toronto,128.302259,5.6452993959999995,2015
2 Church St,Parking garages,Toronto,2329175.47,102483.72068,2015
Avondale Park,Other,Toronto,3434.042367,151.09786414799999,2015
Sir Adam Beck Park,Other,Toronto,944.619972,41.563278767999996,2015
3001 McCowan Rd,Other,Toronto,210.472456,9.260788064,2015
3045 Brimley Rd,Other,Toronto,225.949749,9.941788956,2015
3079 Kennedy Rd,Other,Toronto,128.155146,5.6388264239999994,2015
3084 Weston Rd,Other,Toronto,42889.024306,1887.1170694639998,2015
Rivercrest Rink,Other,Toronto,136203.19988600002,5992.940794984001,2015
Carmine Stefano Community Ctr,Community centres,Toronto,230114.69376400003,217782.72761843598,2015
31 Langford Ave,Parking garages,Toronto,1779.676352,78.30575948799999,2015
Martin Grove Gardens Park,Other,Toronto,1955.120244,86.02529073599999,2015
#31 Police Division,Police Station,Toronto,635430.4853279999,122369.611443762,2015
31 Yorkville Ave,Parking garages,Toronto,2087983.54,91871.27575999999,2015
Kingston Rd Sewage Pumping Station,Sewage Pumping,Toronto,137838.264283,6064.883628451999,2015
Hillsdale Ave Parkette,Other,Toronto,741.768012,32.637792528,2015
#32 Police Division,Police Station,Toronto,0,163050.670693962,2015
330 University Ave Fountain,Other,Toronto,81968.710981,3606.6232831639995,2015
Trumpeter Park,Other,Toronto,1153.386071,50.748987123999996,2015
33A Riverwood Pky,Other,Toronto,5929.187913000001,260.884268172,2015
#33 Police Division,Police Station,Toronto,418202.41949600005,99862.082785264,2015
33 Queen St E,Parking garages,Toronto,533015.212367,23452.669344147995,2015
342 Prince Edward Dr,Parking garages,Toronto,10251.456446,451.064083624,2015
Bloor Islington Storm Pumping Station,Other,Etobicoke,25030.646471,1101.348444724,2015
349 Keele St,Parking garages,Toronto,4767.494459,209.76975619599997,2015
34 Park  Home Ave - Lighting,Other,North York,2255.680454,99.249939976,2015
Oakdale Community Center,Community centres,Toronto,194455.895747,51247.813572328,2015
West Deane Park,Other,Toronto,23038.720515999998,1013.7037027039999,2015
351 Lippincott St,Parking garages,Toronto,18188.790718,800.306791592,2015
35 Bellevue Ave,Parking garages,Toronto,24671.480881,1085.545158764,2015
3601 Eglinton Ave W,Other,Toronto,31606.612971000002,1390.690970724,2015
Campbell House,Cultural facilities,Toronto,21351.503671,939.4661615239999,2015
Bathurst-Wilson Parkette,Other,Toronto,346.507635,15.246335939999998,2015
376 Clinton St,Parking garages,Toronto,1868.9827030000001,82.235238932,2015
37 Queen St E,Parking garages,Toronto,1446623.3128560001,63651.425765664004,2015
Stan Wadlow Park,Other,Toronto,1219.021576,53.636949344,2015
3885 Yonge St Lot,Parking garages,Toronto,40793.971012,1794.934724528,2015
Power House C.C.,Community centres,Toronto,336549.542166,14808.179855303999,2015
St Clair Gardens - ele,Other,Toronto,2940.697683,129.39069805199998,2015
Silver Birch Ave Sewage Pumping Station,Sewage Pumping,Toronto,316.311503,13.917706132,2015
400 Keele St,Parking garages,Toronto,5001.677318,220.073801992,2015
402 Sewells Rd,Street lighting,Toronto,134.017754,5.896781175999999,2015
407 Fairlawn,Other,Toronto,248.155514,10.918842616,2015
Roselawn Comm Tower,Other,Toronto,48131.939222999994,2117.8053258119994,2015
Corvette Park,Other,Toronto,28.562354,1.2567435759999999,2015
40 Dundas St E,Other,Toronto,3404.999668,149.81998539199998,2015
Gateway Park,Other,Toronto,4890.5179180000005,215.18278839200002,2015
Seasons Park,Other,Toronto,5431.374751,238.980489044,2015
Topham Park,Other,Toronto,13281.296,584.377024,2015
#41 Police Division,Police Station,Toronto,692197.4897149999,239632.98653614,2015
#42 Police Division,Police Station,Toronto,626473.262857,116593.27356381799,2015
#43 Police Division,Police Station,Toronto,861210.259662,183924.842293788,2015
44 Richmond St E,Parking garages,Toronto,57279.919786,2520.316470584,2015
Old Orchard Park,Other,Toronto,2085.148751,91.746545044,2015
453 Spadina Rd,Parking garages,Toronto,3599.7315409999997,158.38818780399998,2015
45 Aberdeen Ave,Parking garages,Toronto,3254.964529,143.218439276,2015
45 Dunfield Ave,Other,Toronto,589.118565,25.921216859999998,2015
470 Windermere Ave,Parking garages,Toronto,6991.137989000001,307.610071516,2015
480 Mill Rd,Other,Toronto,66550.921445,2928.2405435799997,2015
Starry Park,Other,Toronto,578.577609,25.457414796000002,2015
5063 Yonge St Unit Underg,Other,North York,17.869928,0.786276832,2015
Pricefield Rd Playground,Other,Toronto,10217.024300000001,449.5490692,2015
NW District Office & Garage,Ambulance Station,Toronto,176370.102373,36714.057782702,2015
50 Wabash,Other,Toronto,20916.161062,9427.498801418,2015
5184 Yonge St Unit Undrg,Other,Toronto,64.8529,2.8535276,2015
519 Church St Comm Ctr,Community centres,Toronto,530387.4285180001,23337.046854792003,2015
519 Church Park,Other,Toronto,23013.215293999998,1012.5814729359998,2015
